emoji,count,tokens,mult
flag for bulgaria,10672,flagxforxbulgaria,
train,10659,train,
flag for nigeria,10655,flagxforxnigeria,
flag for indonesia,10630,flagxforxindonesia,
speaker with cancellation stroke,10616,speakerxwithxcancellationxstroke,
tram car,10609,tramxcar,
flag for georgia,10548,flagxforxgeorgia,
flag for bangladesh,10524,flagxforxbangladesh,
flag for kosovo,10502,flagxforxkosovo,
passport control,10432,passportxcontrol,
flag for aruba,10343,flagxforxaruba,
silhouette of japan,10331,silhouettexofxjapan,
flag for ecuador,10324,flagxforxecuador,
calendar,10294,calendar,
sagittarius,10285,sagittarius,
flag for senegal,10249,flagxforxsenegal,
anticlockwise downwards and upwards open circle arrows,10231,anticlockwisexdownwardsxandxupwardsxopenxcirclexarrows,
pisces,10177,pisces,
virgo,10107,virgo,
european post office,10072,europeanxpostxoffice,
horizontal traffic light,10021,horizontalxtrafficxlight,
taurus,9973,taurus,
flag for american samoa,9898,flagxforxamericanxsamoa,
family woman boy boy,9888,familyxwomanxboyxboy,
capricorn,9822,capricorn,
flag for reunion,9773,flagxforxreunion,
flag for el salvador,9745,flagxforxelxsalvador,
libra,9728,libra,
oil drum,9660,oilxdrum,
circled ideograph advantage,9652,circledxideographxadvantage,
curling stone,9647,curlingxstone,
arrow pointing rightwards then curving upwards,9624,arrowxpointingxrightwardsxthenxcurvingxupwards,
orange book,9572,orangexbook,
llama,9549,llama,
station,9487,station,
flag for nicaragua,9470,flagxforxnicaragua,
convenience store,9469,conveniencexstore,
jigsaw puzzle piece,9427,jigsawxpuzzlexpiece,
paperclip,9414,paperclip,
white medium small square,9328,whitexmediumxsmallxsquare,
mens symbol,9300,mensxsymbol,
squared cjk unified ideograph 6e80,9279,squaredxcjkxunifiedxideographx6e80,
spiral calendar pad,9214,spiralxcalendarxpad,
ball of yarn,9180,ballxofxyarn,
ringed planet,9174,ringedxplanet,
flag for hungary,9102,flagxforxhungary,
metro,9058,metro,
hippopotamus,9047,hippopotamus,
flag for european union,9035,flagxforxeuropeanxunion,
radioactive sign,8990,radioactivexsign,
chart with downwards trend,8979,chartxwithxdownwardsxtrend,
black nib,8958,blackxnib,
straight ruler,8929,straightxruler,
flag for iceland,8898,flagxforxiceland,
north east arrow,8822,northxeastxarrow,
up pointing small red triangle,8814,upxpointingxsmallxredxtriangle,
building construction,8804,buildingxconstruction,
bar chart,8793,barxchart,
e mail symbol,8760,exmailxsymbol,
flag for south africa,8725,flagxforxsouthxafrica,
six pointed star with middle dot,8668,sixxpointedxstarxwithxmiddlexdot,
squared cjk unified ideograph 7981,8648,squaredxcjkxunifiedxideographx7981,
family man girl girl,8643,familyxmanxgirlxgirl,
south east arrow,8630,southxeastxarrow,
flag for cameroon,8630,flagxforxcameroon,
place of worship,8614,placexofxworship,
clock face two oclock,8613,clockxfacextwoxoclock,
factory,8612,factory,
squared cl,8603,squaredxcl,
flag for bahrain,8541,flagxforxbahrain,
no pedestrians,8538,noxpedestrians,
flag for kazakhstan,8462,flagxforxkazakhstan,
flag for barbados,8453,flagxforxbarbados,
scroll,8403,scroll,
customs,8331,customs,
radio,8274,radio,
light rail,8267,lightxrail,
trackball,8263,trackball,
circled ideograph congratulation,8224,circledxideographxcongratulation,
flag for new zealand,8213,flagxforxnewxzealand,
fax machine,8197,faxxmachine,
baggage claim,8190,baggagexclaim,
family man girl boy,8186,familyxmanxgirlxboy,
mobile phone off,8181,mobilexphonexoff,
clock face three oclock,8170,clockxfacexthreexoclock,
negative squared ab,8169,negativexsquaredxab,
flag for somalia,8136,flagxforxsomalia,
page facing up,8100,pagexfacingxup,
antenna with bars,8064,antennaxwithxbars,
non potable water symbol,8026,nonxpotablexwaterxsymbol,
flag for greenland,8006,flagxforxgreenland,
eight pointed black star,7977,eightxpointedxblackxstar,
notebook with decorative cover,7923,notebookxwithxdecorativexcover,
